var;en
LANG_ERROR_API;Server API error
LANG_ERROR_404;Server bad API request with 404 code.
LANG_ERROR_500;Server fail API request - server error 500.
LANG_ERROR_Default;Server fail API request for unknown reason.
LANG_ERROR_NOT_AUTHORIZED;You are not authorized, please login in.
LANG_ERROR_Static_Page_Not_Found_Header;Page not found.
LANG_ERROR_Static_Page_Not_Found_Content;The specified page was not found.
LANG_ERROR_FileUpload_Failed_TooLarge;Sorry, it looks like the photo you are trying to upload is more than 10MB.
LANG_ERROR_FileUpload_Failed_TooLarge2;Sorry, it looks like the one of the photos You are trying to upload are more than 10MB each.
LANG_ERROR_NoSuchPage_Title;Incorrect page.
LANG_ERROR_NoSuchPage_Body;The specified page was not found.
LANG_ERROR_GoBack_Link;Go back
LANG_ERROR_FILE_SIZE;File is too big. Max size is 10Mb.
LANG_ERROR_Placeholder_Text;We're trying to get everything up and breathing again as quickly as possible.
LANG_ERROR_AUTH_1;Email or password was wrong.
LANG_ERROR_AUTH_2;Email or password was wrong.
LANG_ERROR_AUTH_3;Server internal error.
LANG_ERROR_AUTH_4;Account is blocked.
LANG_ERROR_AUTH_5;Email is empty, write Your Email.
LANG_Restore_Done;New account password was sent to your e-mail.
LANG_Restore_Facebook;Password cannot be restored for accounts created by Facebook.
LANG_ERROR_Empty_Field;Please specify a Email and try again.
LANG_ERROR_Session_Lost_Title;Session lost.
LANG_ERROR_Session_Lost;You have been logged out. You need to log in to continue using the site.
LANG_Validation_Error;Form data was invalid.
LANG_Validation_Text;Please correct form data.
LANG_Validaton_StringLength;Wrong text length.
LANG_Validaton_Email;It is not a valid email address.
LANG_Validaton_Url;It is not a valid url address.
LANG_Validaton_NumberInterval;The number is not in the valid range.
LANG_Validaton_Timestamp;This is not a valid date.
LANG_Validation_Generic;Field data is wrong.
LANG_Unsupported_Browser_Title;Unsupported Browser.
LANG_Unsupported_Browser_Text;Unfortunately, your browser is outdated and thus not supported by our application. In order to be able to use the portal, please upgrade your browser to the latest version and try again.
LANG_Restore_Notification_Success;Your password has been restored.
LANG_Restore_Notification_Fail;Your password cannot be restored.
LANG_title;Title
LANG_content;Content
LANG_Menu_Proximity;Proximity
LANG_Menu_Buzz;Buzz
LANG_Menu_Tour;Take the Tour
LANG_Menu_Having_Issues;Having issues?
LANG_Back;Back
LANG_Paginated_Info;Page %(pageId)s of %(pageAll)s
LANG_Selection;Selection
LANG_Common_MarkdownSyntax;Markdown syntax
LANG_Common_Info;Info
LANG_Common_Ok;Ok'
LANG_Asterisk_Required_Note;* denotes a required field.
LANG_Meta_Title_Notifications;Notifications
LANG_Meta_Title_Favourities;Bookmarks
LANG_Meta_Title_Discovery;Discovery Feed
LANG_Meta_Title_Rundowns;Trip reports
LANG_Meta_Title_My_Groups;My Plans & Happenings
LANG_Meta_Title_My_Happenings;My Happenings
LANG_Meta_Title_My_Items;My Activity
LANG_Meta_Title_Tour;Feature Tour
LANG_Meta_Title_CreateProfile;Creating account.
LANG_Meta_Title_EditProfile;Edit Profile
LANG_Meta_Title_YourProfile;Your Profile
LANG_Meta_Title_UserProfile;User Profile
LANG_Meta_Title_Contacts;Contacts
LANG_Meta_Title_Settings;Settings
LANG_Meta_Title_UserSearch;Search Users
LANG_Footer_Copyright;Copyright info
LANG_Footer_Contact;Contact
LANG_Footer_About;About
LANG_App_Loading;Loading ...
LANG_Auth_Login_Sing_In;Login
LANG_Auth_Login_Text;Login
LANG_Auth_BecomeAMember_Text;Become a member
LANG_Auth_SignUp;Sign up
LANG_Auth_Guest_Text;Guest
LANG_Auth_Login;Email
LANG_Auth_Password;Password
LANG_Auth_Keep;Keep me signed in
LANG_Auth_Registration1;If You don\'t have account just
LANG_Auth_Registration2;register
LANG_Auth_Forgot;Forgot your password?
LANG_Auth_FacebookError;Facebook Connect error: 
LANG_Auth_FacebookError_Internal;Internal error. Refresh the page and try again.
LANG_Auth_FacebookError_BlockedAccount;Your Gociety account was removed or it is blocked.
LANG_Auth_LoginError_Blocked;Cannot login. Your account has been blocked by the administrator.
LANG_Auth_LoginError_DeviceBlocked;Cannot login. The device has been blocked by the administrator.
LANG_Auth_LoginError_InvalidEmail;Please enter a valid email address.
LANG_Auth_Back;Back to login
LANG_Auth_Restore;Recover
LANG_Auth_RestoreInfo;New password is active. You can change it here
LANG_Menu_Sign_Out;Sign Out
LANG_Menu_Sign_Out_Msg;Would you like to sign out?
LANG_Menu_Cancel;Cancel
LANG_Menu_Ok;Ok
LANG_Or;or
LANG_Auth_Facebook;Connect with Facebook
LANG_Auth_Tour_Take;Take tour
LANG_Auth_Create;Create an account
LANG_Auth_SignUpWithEmail;Sign up with email
LANG_Auth_SignUpWithFacebook;Sign up with Facebook
LANG_Auth_LoginWithFacebook;Login with Facebook
LANG_Auth_Or;Or
LANG_Auth_Start;Sign in!
LANG_Auth_Email;Email
LANG_Auth_First_Name;First name
LANG_Auth_Last_Name;Last name
LANG_Auth_Confirm;Confirm
LANG_Auth_Registration;Registration
LANG_Auth_Create_Account;Create an account
LANG_Auth_Cancel;Cancel
LANG_Auth_Agree;By clicking 'Create account', you agree to 
LANG_Auth_Therms;therms
LANG_Auth_Privacy;privacy policy
LANG_Auth_Reason_AwesomeThings;Find <strong>awesome things</strong><br/>to do outside
LANG_Auth_Reason_NewPeople;Meet <strong>new people</strong>
LANG_Auth_Reason_Adventurous;Be socially <strong>adventurous</strong>
LANG_Auth_Reason_Find_And_Create_Adventures;Find and <strong>create<br/>outdoor</strong> adventures
LANG_Auth_Reason_Explore_And_Share_Trip;Explore <strong>and share<br/>trip reports</strong>
LANG_Auth_AlreadyMember;Already a <strong>member</strong>?
LANG_And;and
LANG_FB_Logging;Logging In
LANG_Menu_Profile_Edit;My Profile
LANG_Menu_Messages;Messages
LANG_Menu_MyGroups;My Activity
LANG_Menu_Bookmarks;Bookmarks
LANG_Menu_Contacts;Contacts
LANG_Menu_Search;Profiles
LANG_Menu_Close;Close
LANG_Menu_MyGociety;My gociety
LANG_Global_ShowFilter;Show filter
LANG_Global_HideFilter;Hide filter
LANG_Global_Filter;Filter
LANG_Global_ClearFilter;Clear filter
LANG_Global_Month;Month
LANG_Global_Day;Day
LANG_Global_Year;Year
LANG_Global_ShortMonths[0];jan
LANG_Global_ShortMonths[1];feb
LANG_Global_ShortMonths[2];mar
LANG_Global_ShortMonths[3];apr
LANG_Global_ShortMonths[4];may
LANG_Global_ShortMonths[5];jun
LANG_Global_ShortMonths[6];jul
LANG_Global_ShortMonths[7];aug
LANG_Global_ShortMonths[8];sep
LANG_Global_ShortMonths[9];oct
LANG_Global_ShortMonths[10];nov
LANG_Global_ShortMonths[11];dec
LANG_Global_Group;plan
LANG_Global_Happening;happening
LANG_Global_ApproxTimes[0];morning
LANG_Global_ApproxTimes[2];afternoon
LANG_Global_ApproxTimes[3];evening
LANG_Global_ApproxTimes[4];all day
LANG_Global_Preview;Preview
LANG_Global_Loading;Loading data ...
LANG_Global_Change;Change
LANG_Global_Remove;Remove
LANG_Global_SelectImage;Select image
LANG_Global_ShortDays[0];sun
LANG_Global_ShortDays[1];mon
LANG_Global_ShortDays[2];tue
LANG_Global_ShortDays[3];wed
LANG_Global_ShortDays[4];thu
LANG_Global_ShortDays[5];fri
LANG_Global_ShortDays[6];sat
LANG_Global_Back;Back
LANG_Global_Post;Post
LANG_Global_Cancel;Cancel
LANG_Global_Close;Close
LANG_Global_Edit;Edit
LANG_Global_Save;Save
LANG_Global_CharacterCount;%d characters left.
LANG_Global_New;New
LANG_Global_Menu;Menu
LANG_Global_Yes;Yes
LANG_Global_No;No
LANG_Global_Success;Success
LANG_Global_Error;Error
LANG_Profile_Goscore;GoScore:
LANG_Profile_Title;the profile
LANG_Profile_editProfile1_Title;The Basics
LANG_Profile_editProfile2_Title;Your Interests
LANG_Profile_editProfile3_Title;More You
LANG_Profile_editProfile1_Photo_Tagline;Optimal size is 120px x 120px and less than 10MB.
LANG_Profile_ShowCharacters;Show characters
LANG_Profile_Next;Next
LANG_Profile_IAgree;I AGREE
LANG_Profile_Finished;FINISHED
LANG_Profile_Accept;Accept
LANG_Profile_Deny;Deny
LANG_Profile_Show;Show
LANG_Profile_Skip;Skip
LANG_Profile_More_About_Me;More about me
LANG_Profile_Edit;Edit Profile
LANG_Profile_Total_Contacts;Total number of contacts
LANG_Profile_Common_Contacts;Contacts in Common
LANG_Profile_Page1_Msg;You're never going to meet anyone going anonymous.... hence our handy form.
LANG_Profile_First_Name;First name
LANG_Profile_Last_Name;Last name
LANG_Profile_Username;username
LANG_Profile_GenderLabel;* Gender
LANG_Profile_Male;male
LANG_Profile_Female;female
LANG_Profile_City;city, state or zip
LANG_Profile_Email;email address
LANG_Profile_Page1_Note;* denotes a required field. The only information that is shown to the public is username, age and gender.
LANG_Profile_Page1_Err_Msg_Title;All fields are required
LANG_Profile_Page1_Err_Msg_Text;Fill all required fields, please.
LANG_Profile_Page2_Msg;Tell us about your abilities. You want to do this. (Note, the more you write, the better match your activity partners will be.)
LANG_Profile_Ability_Lvl;Ability level
LANG_Profile_Ability_Msg ;Max. 140 characters.
LANG_Profile_Sport_Desc;Description here lorem ipsum 140 characters should appear within no time.
LANG_Profile_Page2_Err_Msg_Title;All fields are mandatory
LANG_Profile_Page2_Err_Msg_Text;Fill all required fields, please.
LANG_Profile_No_Sport;Oops... There is no data to display.
LANG_Profile_Page3_Msg;This is the part where you let your personality shine like the sun. What are you about?
LANG_Profile_No_Question;Oops... There is no data to display.
LANG_Profile_Steps_Step1;The Basics
LANG_Profile_Steps_Step2;The Details
LANG_Profile_Steps_Step3;The Jam
LANG_Profile_User_Sports;Sports
LANG_Profile_FirstName_Label;* First name
LANG_Profile_LastName_Label;* Last name
LANG_Profile_UserName_Label;User name
LANG_Profile_BirthDate_Label;* Date of Birth
LANG_Profile_BirthMonth_Placeholder;MM
LANG_Profile_BirthDay_Placeholder;DD
LANG_Profile_BirthYear_Placeholder;YYYY
LANG_Profile_Location_Label;* Location
LANG_Profile_Email_Label;* Email
LANG_Profile_EmailPlaceholder;Enter email
LANG_Profile_PassNew_Label;* Password must be min. 6 characters.
LANG_Profile_PassPlaceholder;Enter password
LANG_Profile_PassNewRep_Label;* Confirm password
LANG_Profile_PassNewRepPlaceholder;Retype password
LANG_Profile_EditPass_OldLabel;* Your old password
LANG_Profile_EditPass_NewLabel;* New password
LANG_Profile_EditPass_NewRepLabel; * Confirm new password
LANG_Profile_Photo_Label;Profile photo
LANG_Profile_PhotoNoPhoto;Remove
LANG_Profile_PhotoRemove;Remove
LANG_Profile_PhotoSelect;Select
LANG_Profile_PhotoChange;Change
LANG_Profile_CountryLabel;Country
LANG_Profile_ZipCodeLabel;Zip code
LANG_Profile_ZipCodePlaceholder;Enter zip code
LANG_Profile_LocationLabel;Location
LANG_Profile_LocationPlaceholder;Enter location
LANG_Profile_StateLabel;State
LANG_Profile_NoContacts;This user does not have any contacts yet!
LANG_Profile_ContactsList_Header;Contacts
LANG_Profile_CommonContactsList_Header;Common contacts
LANG_Profile_CommonContacts_NoContacts;You don't have any contacts in common with this user.
LANG_Profile_LoginExists;Selected email already exists
LANG_Profile_LoginLengthErr;Incorrect email length.
LANG_Profile_SelectState;Select state
LANG_Profile_NoSportDesc;Please fill out mandatory fields.
LANG_Profile_NoSportNotify;Please fill out mandatory fields.
LANG_Profile_No_Sports_Mine;Oops, you haven't selected any sports yet!
LANG_Profile_No_Sports;This user doesn't have any sports selected.
LANG_Profile_Settings;Settings
LANG_Profile_EditProfile_Step1;The Basics
LANG_Profile_EditProfile_Step2;The Details
LANG_Profile_EditProfile_Step3;The Jam
LANG_Profile_EditProfile_SportDescription;Description
LANG_Profile_ProfileSettings_Account;Account
LANG_Profile_ProfileSettings_Account_EditYourProfile;Edit your profile
LANG_Profile_ProfileSettings_Account_EditYourPassword;Edit your password
LANG_Profile_ProfileSettings_Account_TermsOfService;Terms of Service
LANG_Profile_ProfileSettings_Account_DeleteYourAccount;Delete your account
LANG_Profile_ProfileSettings_Account_EditYourProfile_Desc;Here you can change your profile
LANG_Profile_ProfileSettings_Account_EditYourPassword_Desc;If you want change your password
LANG_Profile_ProfileSettings_Account_TermsOfService_Desc;Terms of Service
LANG_Profile_ProfileSettings_Account_DeleteYourAccount_Desc;This option remove your account - be careful with this button
LANG_Profile_ProfileSettings_Account_AreYouSure;Are you sure?
LANG_Profile_ProfileSettings_Account_AreYouSureDeleteAccont;Are you sure You want to delete your account? This action is irreversible.
LANG_Profile_ProfileSettings_Account_DeleteFailText;Your profile can't be deleted, contact with administrator
LANG_Profile_ProfileSettings_Account_DeleteSuccessText;Your account has been removed
LANG_Profile_ProfileSettings_Account_EditPasswordSuccessText;Your password has been changed
LANG_Profile_ProfileSettings_SocialSettings;Social network settings
LANG_Profile_ProfileSettings_Notifications;Notification settings
LANG_Profile_ProfileSettings_Devices;Device settings
LANG_Profile_ProfileSettings_Save_Ok;Your settings have been saved!
LANG_Profile_ProfileSettings_Save_Fail;We couldn't save your settings due to an error. Please try again.
LANG_Profile_ProfileSettings_FetchFail;We couldn't read your settings. Please try again.
LANG_Profile_ProfileSettings_SocialSettings_Name;Social network
LANG_Profile_ProfileSettings_SocialSettings_ID;ID
LANG_Profile_ProfileSettings_SocialSettings_Show;Display in profile
LANG_Profile_ProfileSettings_Socials.twitter;twitter.com/
LANG_Profile_ProfileSettings_Socials.instagram;instagram.com/
LANG_Profile_ProfileSettings_SocialSettings_Desc;This screen allows you to configure which social networks will be displayed on your profile.
LANG_Profile_ProfileSettings_Notifications_Name;Notification
LANG_Profile_ProfileSettings_Notifications_EMail;E-mail
LANG_Profile_ProfileSettings_Notifications_Push;Push
LANG_Profile_ProfileSettings_Notifications_Desc;This screen allows you to configure which notifications you wish to receive.
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_JOIN_REQUEST;Someone wants to join your plan
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_JOIN_REQUEST_DECLINED;Your request to join a plan was declined
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_JOIN_REQUEST_ACCEPTED;Your request to join a plan was accepted
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_USER_JOINED;Someone joined a plan you're in
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_USER_LEFT;User left a plan
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_NEW_POST;Someone commented in a plan
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_HAPPENING_USER_JOINED;User joined a happening
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_HAPPENING_USER_LEFT;User left a happening
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_UPVOTE;User upvoted your plan;
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_RUNDOWN_UPVOTE;User upvoted your trip report;
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_HAPPENING_NEW_POST;User wrote a post in a happening
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_USER_INVITED_TO_GROUP;User invited another user(s) to a plan or happening
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_USER_INVITATION;You have been invited to join a plan 
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_USER_NEW_MESSAGE;User received a new private message
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_USER_NEW_CONTACT;Someone adds you to their contacts
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_USER_DELETE_CONTACT;User was removed from contacts list
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_EXPIRED;A plan you started has expired
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_CREATED_FROM_RUNDOWN;Someone posted a trip report from your plan
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_RUNDOWN_COMMENT;Someone commented on a trip report you posted
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_RUNDOWN_VOTE_CAST;Someone likes your trip report
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_RUNDOWN_PHOTO_LIKE;Someone liked your trip report photo
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_RUNDOWN_PHOTO_COMMENT;Someone commented on your trip report photo
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_RUNDOWN_USER_TAG;Someone tagged you in a trip report
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_USER_JOINED_AUTOACCEPT;Someone was autoaccepted to your plan
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_USER_MESSAGE;You have new messages
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_USER_NEW_HIGH_FIVE;Someone gave you a high five
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_COMMENT_USER_TAG;Someone tagged you in a comment
LANG_Profile_ProfileSettings_Devices_Name;Device
LANG_Profile_ProfileSettings_Devices_BindTime;First used
LANG_Profile_ProfileSettings_Devices_LastUsage;Last used
LANG_Profile_ProfileSettings_Devices_Actions;Actions
LANG_Profile_ProfileSettings_Devices_Desc;This screen allows you to review devices which you used to access the portal.
LANG_Profile_ProfileSettings_Devices_Browser;Desktop browser
LANG_Profile_ProfileSettings_Devices_Block;Block
LANG_Profile_ProfileSettings_Devices_Unblock;Unblock
LANG_Profile_ProfileSettings_AreYouSure;Are you sure that you want to save the settings?
LANG_Profile_statGroupsCreated;Plans created
LANG_Profile_statGroupsJoined;Plans joined
LANG_Profile_statContacts;Contacts
LANG_Profile_GighFive;High five
LANG_Profile_EditHighFive;Edit high five;
LANG_Profile_DeleteHighFive;Delete high five;
LANG_Profile_DeleteHighFiveText;Do you really want to delete this high five?
LANG_Profile_HighFiveDelete;Delete;
LANG_Profile_HighFiveEdit;Edit;
LANG_Profile_profileViews;Views
LANG_Profile_ExistingImages;Existing images
LANG_Profile_setAsThumbnail;Set as avatar
LANG_Profile_Captions;Captions
LANG_Profile_AddImages;Add images
LANG_Profile_Photo_Tagline_2;Optimal avatar size size is 120px x 120px and less than 10MB.
LANG_Profile_UnsupportedBrowser;Gociety performs best on Internet Explorer 10 & 11,  the newest Chrome, Firefox and Safari on Mac browsers
LANG_Menu_Welcome;Welcome
LANG_Menu_Settings;settings
LANG_Menu_About;about us
LANG_Menu_Blog;Blog
LANG_Menu_Logout;Logout
LANG_Menu_Discovery_Feed;Discovery Feed
LANG_Menu_Discovery_Rundowns;Trip reports
LANG_Menu_Notifications;Notifications
LANG_Discovery_LookingFor;I'm looking for:
LANG_Discovery_Filter;Filter
LANG_Discovery_Groups;Plans
LANG_Discovery_Groups_NoItem;There are no plans matching given criteria.
LANG_Discovery_Happenings;Happenings
LANG_Discovery_Happenings_NoItem;There are no happenings matching given criteria.
LANG_Discovery_my;my
LANG_Discovery_Create_Group;Make a Plan >
LANG_Discovery_Create_Group_Text;Get out of the house and onto the VERTICAL
LANG_Discovery_Create_Happening;Create a Happening >
LANG_Discovery_Filter_Keyword;Keyword search
LANG_Discovery_Filter_ApproxTime;Approximate time
LANG_Discovery_Filter_DateRange;Date range
LANG_Discovery_Filter_Sport;Sport
LANG_Discovery_Filter_Intensity;Intensity
LANG_Discovery_Filter_Location;Location
LANG_Discovery_Filter_Search;Search
LANG_Discovery_Filter_Cancel;Cancel
LANG_Discovery_Filter_Reset;Reset
LANG_Discovery_Filter_NoIntensities;Choose a sport first.
LANG_Discovery_Filter_notShowExpired;Do not show expired.
LANG_Discovery_Filter_Sorting;Sort by
LANG_Discovery_Filter_Sorting_Opts[0];active first
LANG_Discovery_Filter_Sorting_Opts[1];most recent
LANG_Discovery_Filter_Sorting_Opts[2];nearest to me
LANG_Discovery_Filter_Sorting_Opts[3];event time
LANG_Discovery_Filter_NoMatch;No items matching your criteria.
LANG_Discovery_NoItems;No items found.
LANG_Discovery_Filter_To;to
LANG_CreateGroup_Btn_Text;Make a Plan
LANG_CreateGroup_TextOnForm;Start a Gociety plan whenever you’re heading outdoors, and get some awesome people to join you. Post last-minute or a week before. Gociety is all about creating spontaneous, one-time get togethers. You have the chance to accept or deny members into your Gociety plan, ensuring you get outside with the best people for any adventure.
LANG_CreateRundown_Btn_Text;Post a Trip report
LANG_ConvertRundown_Btn_Text;Convert to Trip report
LANG_Btn_ShareToFacebook;Share to Facebook
LANG_Btn_ShareToTwitter;Share to Twitter
LANG_Btn_Edit;Edit
LANG_Btn_PostAsRundown;Post as Trip report
LANG_Btn_Pending;Pending
LANG_Btn_Join;Join
LANG_Btn_AcceptInvitation;Accept Invitation
LANG_Btn_AddToBookmarks;Add to Bookmarks
LANG_Btn_AddedToBookmarks;Added to Bookmarks
LANG_Btn_InviteContacts;Invite contacts
LANG_Btn_Leave;Leave
LANG_Btn_PostIt;Looks good? Post it!
LANG_AlreadyConvertedRundown_Btn_Text;Already converted
LANG_CreateGroup_PageTitle;Make a Plan
LANG_CreateGroup_PageTitle_Edit;Edit your Plan
LANG_CreateGroup_Title;* I plan to...
LANG_CreateGroup_Title_Placeholder;max 40 characters
LANG_CreateGroup_Location;* Location
LANG_CreateGroup_Location_Placeholder;nearest city, state
LANG_CreateGroup_ThumbPhoto;Thumbnail photo
LANG_CreateGroup_ThumbPhoto_Tagline;Optimal size is 230px x 250px and less than 10MB.
LANG_CreateGroup_Photo;Plan space photo
LANG_CreateGroup_Photo_Tagline;This is your chance to be creative. If you can't think of something awesome, go snap a photo of your running shoes or your skis.
LANG_CreateGroup_Photo_Tagline_2;For best results use horizontal photos. Optimal banner size is 720 x 250 px and less than 10MB. You can add up to 5 images. 
LANG_CreateGroup_Date;* Date
LANG_CreateGroup_Date_Starting_on;* Date starting
LANG_CreateGroup_Date_To;Date ending
LANG_CreateGroup_Sport;* Category
LANG_CreateGroup_Intesity;* Pace
LANG_CreateGroup_Description;* Description
LANG_CreateGroup_Description_Placeholder;max 200 characters
LANG_CreateGroup_Create_Button;Save
LANG_CreateGroup_Cancel_Button;Cancel
LANG_CreateGroup_ApproxTime;* Approximate time
LANG_CreateGroup_Photo_Change;Keep the photo
LANG_CreateGroup_Country;Country
LANG_CreateGroup_ZipCode;Zip code
LANG_CreateGroup_State;State
LANG_CreateGroup_SelectState;Select state
LANG_CreateGroup_AddImages;Add Banner Images
LANG_CreateGroup_ExistingImages;Existing images
LANG_CreateGroup_Tour_Button;Tour
LANG_CreateGroup_AutoAccept;Auto accept
LANG_CreateGroup_AutoAcceptText;Check this box to allow anyone to join your plan. Leave it unchecked if you want to control who can join your plan
LANG_CreateGroup_Preview;Please fill in all required fields
LANG_CreateGroup_Subcategory;Sub-category
LANG_CreateRundown_PageTitle;Post a Trip report
LANG_CreateRundown_PageTitle_Edit;Edit your Trip report
LANG_CreateRundown_RundownDesc1;What’s a Trip report?
LANG_CreateRundown_RundownDesc2;Trip reports are trip reports from adventures you’ve been on. Gociety is all about spontaneity and discovery, and posting a Trip report is the best way to share your experiences with the Gociety community, and be inspired by the places other people have gone. Think of it as a visual journal for your outdoor life.
LANG_CreateRundown_Title;* Trip title
LANG_CreateRundown_Location;* Nearest City, State
LANG_CreateRundown_LocationInfo;Location (140 characters max)
LANG_CreateRundown_Description;* Description
LANG_CreateRundown_Sport;* Sport
LANG_CreateRundown_Intesity;* Intensity
LANG_CreateRundown_LevelOfFun;* Level of Fun
LANG_CreateRundown_Date_Starting_on;* Trip date
LANG_CreateRundown_Date_Ending_on;Trip end date
LANG_CreateRundown_Conditions;Conditions (140 characters max)
LANG_CreateRundown_WhyGoNow;Why go now (140 characters max)
LANG_CreateRundown_DontMiss;Don’t miss (140 characters max)
LANG_CreateRundown_BewareOf;Beware of (140 characters max)
LANG_CreateRundown_Tags;Tags (words or phrases)
LANG_CreateRundown_ExistingImages;Existing images
LANG_CreateRundown_AddImages;Add images
LANG_CreateRundown_Photo_Tagline_2;For best results use horizontal photos. Optimal banner size is 720 x 250 px and less than 10MB. You can add up to 5 images. 
LANG_CreateRundown_Create_Button;Save
LANG_CreateRundown_Cancel_Button;Cancel
LANG_CreateRundown_textPostARundown;Post a Trip report
LANG_CreateRundown_viewRundownDetails_label;AT A GLANCE
LANG_CreateRundown_Label_city;NEAREST CITY, STATE
LANG_CreateRundown_Label_location;LOCATION
LANG_CreateRundown_Label_sportIntencity;SPORT & INTENSTIY
LANG_CreateRundown_Label_levelOfFun;LEVEL OF FUN
LANG_CreateRundown_Label_conditions;CONDITIONS
LANG_CreateRundown_Label_whyGoNow;WHY GO NOW
LANG_CreateRundown_Label_bewareOf;BEWARE OF
LANG_CreateRundown_Label_dontMiss;DON’T MISS
LANG_CreateRundown_Label_views;VIEWS
LANG_CreateRundown_Label_rundown;TRIP REPORT
LANG_CreateRundown_setAsThumbnail;Set as thumbnail
LANG_CreateRundown_Captions;Caption:
LANG_CreateRundown_PH_Name;city, state
LANG_CreateRundown_PH_Conditions;i.e. stormy, sunny and hot, very cold and snowing, etc.
LANG_CreateRundown_PH_LocationInfo;i.e. Indian Peaks Wilderness, Devil's Thumb, etc.
LANG_CreateRundown_PH_WhyGoNow;i.e. fall foliage, views, etc.
LANG_CreateRundown_PH_DontMiss;i.e. the view at 14k feet, Lake Trill, etc.
LANG_CreateRundown_PH_BewareOf;i.e. water on the trail, ice on the run, etc.
LANG_CreateRundown_PH_Tags;i.e. backcountry, vail pass, wilderness area etc.
LANG_ViewGroup_NoPhoto;No photo
LANG_ViewGroup_Details_Heading;The Details
LANG_ViewGroup_Bookmark;Bookmark
LANG_ViewGroup_RSVP;RSVP
LANG_ViewGroup_Join;Join
LANG_ViewGroup_Pending;Pending
LANG_ViewGroup_GroupCreator;Creator
LANG_ViewGroup_Accept;Accept
LANG_ViewGroup_Decline;Decline
LANG_ViewGroup_Leave;Leave
LANG_ViewGroup_MembersTab;Members | 
LANG_ViewGroup_MembersTabNeedSignIn;Members 
LANG_ViewGroup_NeedSignIn;Sign in to view members. 
LANG_ViewGroup_MembersTabSingle;Member
LANG_ViewGroup_PostsTab;Messages
LANG_ViewGroup_PostsTabSingle;Message
LANG_ViewGroup_Post_Says; says
LANG_ViewGroup_NoPosts;No comments yet!
LANG_ViewGroup_WritePost;Post
LANG_ViewGroup_WritePostEditCancel;Cancel
