var;en
LANG_ViewGroup_PostDelete;Delete
LANG_ViewGroup_PostEdit;Edit
LANG_ViewGroup_Share;Share
LANG_ViewGroup_DisplayAll;Display all comments
LANG_ViewGroup_Invite;Invite
LANG_ViewGroup_InvitePopup_Invite;Send invitation
LANG_ViewGroup_InviteTitle;Invite
LANG_ViewGroup_InviteInputPlaceholder;Search Contacts
LANG_ViewGroup_Invite_NoContacts;You don't have anyone to invite.
LANG_ViewGroup_Invite_Ok;Your invitation has been successfully sent.
LANG_ViewGroup_Invite_Fail;Some error happened. Please try again.
LANG_ViewGroup_SignInToSeePosts;Sign in to view comments.
LANG_ViewGroup_PostsCaption;Comments
LANG_ViewGroup_Expired;Looks like this plan has ended!
LANG_ViewGroup_Expired_CreateOwn;Start your own?
LANG_ViewGroup_GroupRundowns;Trip reports
LANG_ViewGroup_PostLockOn;on
LANG_ViewGroup_PostLockOff;off
LANG_ViewGroup_PostLockOnText;Messages viewable to the public
LANG_ViewGroup_PostLockOffText;Messages can only be viewed by members
LANG_ViewGroup_BecomeAMember;Become a member
LANG_ViewGroup_Or;or
LANG_ViewGroup_SignIn;sign in
LANG_ViewGroup_ToJoin; to ask questions about this plan!
LANG_ViewGroup_KnowMore;Want to know more about this plan?
LANG_ViewGroup_AskHere;Ask here!
LANG_ViewGroup_Delete_Question;Are you sure you would like to delete this plan
LANG_ViewGroup_Delete;Delete
LANG_CreateHappening_PageTitle;Create a Happening
LANG_CreateHappening_PageTitle_Edit;Edit your Happening
LANG_CreateHappening_Title;Title *
LANG_CreateHappening_Title_Placeholder;max 40 characters
LANG_CreateHappening_Location;Location *
LANG_CreateHappening_Location_Placeholder;nearest city, state
LANG_CreateHappening_ThumbPhoto;Thumbnail photo
LANG_CreateHappening_ThumbPhoto_Tagline;The width of this picture should be 230 pixels.
LANG_CreateHappening_Photo;Happening space photo
LANG_CreateHappening_Photo_Tagline;This is your chance to be creative. If you can't think of something awesome, go snap a photo of your running shoes or your skis.
LANG_CreateHappening_Photo_Tagline_2;The width of this picture should be 720 pixels.
LANG_CreateHappening_Date;Date
LANG_CreateHappening_Sport;Sport *
LANG_CreateHappening_Intesity;Intensity *
LANG_CreateHappening_Description;Description *
LANG_CreateHappening_Description_Placeholder;max 200 characters
LANG_CreateHappening_Create_Button;Create
LANG_CreateHappening_Cancel_Button;Cancel
LANG_CreateHappening_ApproxTime;Approximate time *
LANG_ViewHappening_MembersTab;Participants
LANG_ViewHappening_MembersTabSingle;Participant
LANG_ViewHappening_GroupCreator;Creator
LANG_ViewHappening_Expired;Looks like this happening has ended!
LANG_Bookmarks_Delete;Remove
LANG_Bookmarks_Join;Join
LANG_Bookmarks_Attending; Attending
LANG_Bookmarks_Members; Members
LANG_Bookmarks_NoBookmarks;You don't have any bookmarks!
LANG_Bookmarks_Sorting;Sorting order:
LANG_Bookmarks_Sort_Btn_None;None
LANG_Bookmarks_Sort_Btn_Recent;Recently added
LANG_Bookmarks_Sort_Btn_Date;Happening soon
LANG_Bookmarks_Sort_Btn_Location;Location
LANG_MyGroups_Groups;My plans
LANG_MyGroups_NoGroups;You haven't joined any plan yet!
LANG_MyGroups_Happenings;My happenings
LANG_MyGroups_NoHappenings;You don't participate in any happenings!
LANG_MyGroups_Rundowns;My trip reports
LANG_MyGroups_NoRundowns;You haven't created any trip reports yet!
LANG_MyGroups_Owner;Owner
LANG_MyGroups_Member;Member
LANG_MyGroups_Expired;Expired
LANG_MyGroups_Participant;Participant
LANG_MyGroups_Pending;Pending
LANG_MyGroupsAndHapp;Members
LANG_Contacts_Title;Contacts
LANG_Contacts_NoContact;You don't have any contacts yet!
LANG_Contacts_NoContact_SportFilter;No contacts matching your criteria!
LANG_Contacts_Button_Add_Contacts;Add to contacts
LANG_Contacts_Button_Add_Contacts_AlreadyIn;Contact added
LANG_Contacts_Sorting;Sorting order:
LANG_Contacts_Sort_Btn_Sport;Sport
LANG_Contacts_Sort_Btn_Alphabetical;Alphabetical
LANG_Contacts_Sort_Btn_Recent;Recently added
LANG_Contact_Add_Message_Success_Title;User added to your contacts.
LANG_Contact_Add_Message_Error_Title;Error. Contact is not added.
LANG_Contact_Add_Message_Error_Content;User has been added to your contact list.
LANG_Contact_Remove_From_Contacts;Remove
LANG_Contact_Delete_Dialogs_Question;Do you want to delete the contact %(userName)s
LANG_Contact_SelectSport;Select sport...
LANG_Post_Delete_Dialogs_Question;Do you want to delete the comment
LANG_Notifications_Title;Notifications
LANG_Notifications_NoNotifications;You don't have any notifications.
LANG_Notification_Type_User_Request_Join_Group_Title;Someone wants to join your plan.
LANG_Notification_Type_User_Request_Join_Group;%(userName)s wants to join your plan, %(groupName)s.
LANG_Notification_Type_User_Join_Group_Title;Someone joined a plan you're in.
LANG_Notification_Type_User_Join_Group;%(userName)s joined a plan you're in, %(groupName)s.
LANG_Notification_Type_User_Join_Event_Title;User joined your happening.
LANG_Notification_Type_User_Join_Event;%(userName)s joined your happening, %(groupName)s.
LANG_Notification_Type_User_Join_Autoaccept;%(userName)s joined your plan, %(groupName)s.
LANG_Notification_Type_User_Write_Group_Post_Title;Someone commented in a plan.
LANG_Notification_Type_User_Write_Group_Post;%(userName)s wrote %(postTitle)s in your plan.
LANG_Notification_Type_User_Write_Event_Post_Title;User wrote a post in a happening.
LANG_Notification_Type_User_Write_Event_Post;%(userName)s wrote %(postTitle)s in happening %(happeningName)s.
LANG_Notification_Type_User_Invited_Title;Someone invited another user(s) to join a plan.
LANG_Notification_Type_User_Invited;%(senderName)s invited people to %(itemName)s.
LANG_Notification_Type_Invitation_Title;You have been invited.
LANG_Notification_Type_Invitation;%(senderName)s has invited you to join %(itemName)s.
LANG_Notification_Type_Join_Request_Accepted;Your request to join the plan %(groupName)s was accepted.
LANG_Notification_Type_Join_Request_Decline;Your request to join the plan %(groupName)s was declined.
LANG_Notification_Type_Leave_Single;User %(userName)s left your %(itemTypeName)s, %(itemName)s.
LANG_Notification_Type_Leave_Multi;Some users left your %(itemTypeName)s, %(itemName)s.
LANG_Notification_Type_USER_NEW_CONTACT_Title;Someone adds you to their contact list.
LANG_Notification_Type_USER_NEW_CONTACT;%(senderName)s added you to their contact list.
LANG_Notification_Type_DELETE_CONTACT_Title;You're deleted from the list of contacts.
LANG_Notification_Type_DELETE_CONTACT;%(senderName)s deleted you from contact list.
LANG_Notification_Type_GROUP_EXPIRED_Title;A plan you started has expired.
LANG_Notification_Type_GROUP_EXPIRED;Your plan %(groupName)s has expired. Tell your story by posting a trip report and sharing with friends!
LANG_Notification_Type_GROUP_CREATED_FROM_RUNDOWN_Title;Someone posted a trip report from your plan.
LANG_Notification_Type_GROUP_CREATED_FROM_RUNDOWN;%(authorName)s posted a trip report on %(groupName)s.
LANG_Notification_Type_RUNDOWN_COMMENT_Title;Someone commented on a trip report posted.
LANG_Notification_Type_RUNDOWN_COMMENT;%(senderName)s commented on the trip report %(rundownName)s.
LANG_Notification_Type_RUNDOWN_VOTE_CAST_Title;Someone likes your trip report.
LANG_Notification_Type_RUNDOWN_VOTE_CAST;%(senderName)s likes your trip report %(rundownName)s.
LANG_Notification_Type_RUNDOWN_PHOTO_LIKE_Title;Someone liked your trip report photo.
LANG_Notification_Type_RUNDOWN_PHOTO_LIKE;%(senderName)s liked one of your photos from %(rundownName)s.
LANG_Notification_Type_RUNDOWN_USER_TAG_TITLE;Someone tagged you in a trip report.
LANG_Notification_Type_RUNDOWN_USER_TAG;You were tagged in %(rundownName)s. Way to be adventurous!
LANG_Notification_Type_RUNDOWN_PHOTO_COMMENT_Title;Someone commented on your trip report photo.
LANG_Notification_Type_RUNDOWN_PHOTO_COMMENT;%(senderName)s commented on your trip report photo!
LANG_Notification_Type_USER_MESSAGE_Title;You have new messages.
LANG_Notification_Type_USER_MESSAGE;%(senderName)s says %(messageContent)s.
LANG_Notification_Type_USER_HIGHFIVE_Title;Someone gave you a high five.
LANG_Notification_Type_USER_HIGHFIVE;%(senderName)s gave you a high five!
LANG_Notification_Type_GROUP_UPVOTE;%(senderName)s upvoted your Plan '%(feedItemName)s'!
LANG_Notification_Type_RUNDOWN_UPVOTE;%(senderName)s upvoted your trip report '%(feedItemName)s'!
LANG_Notification_Type_COMMENT_USER_TAG_TITLE;Someone tagged you in a comment.
LANG_Notification_Type_COMMENT_USER_TAG;%(senderName)s tagged you in a comment.
LANG_Pretty_Date_Minutes; minutes ago
LANG_Pretty_Date_Just_Now;just now
LANG_Pretty_Date_Minute_Ago;1 minute ago
LANG_Pretty_Date_One_Hours_Ago;1 hour ago
LANG_Pretty_Date_Hours_Ago; hours ago
LANG_Pretty_Date_Yesterday;Yesterday
LANG_Pretty_Date_Days_Ago; days ago
LANG_Pretty_Date_Weeks_Ago; weeks ago
LANG_Pretty_Date_Week_Ago; week ago
LANG_Pretty_Date_Month_Ago; month ago
LANG_Pretty_Date_Months_Ago; months ago
LANG_Pretty_Date_Year_Ago; year ago
LANG_Pretty_Date_Years_Ago; years ago
LANG_Pretty_Date_SomeTime_Ago;Some time ago
LANG_ERROR_FileUpload_Failed_FileError;The file you were trying to upload is invalid.
LANG_ViewGroup_PostsOnlyForLoggedUser;Join this Plan to view comments
LANG_ViewHappening_PostsOnlyForLoggedUser;Become a member to view posts in this happening.
LANG_Menu_noMemberItem_NotLoggedHappening;No participants yet!
LANG_Splash_TakeALook;Take a look around first
LANG_Footer_Menu_Terms;Terms of Service
LANG_Footer_Menu_Policy;Privacy Policy
LANG_Footer_Menu_About;About Us
LANG_Footer_Menu_Contact;Contact Us
LANG_Footer_Menu_Blog;Our Blog
LANG_Footer_Be_Social;Be Social With Us
LANG_Footer_Available;Available on the 
LANG_Footer_Available_iOS;App Store
LANG_Footer_Available_Android;Google Play
LANG_Footer_Copy;© {0} GOCIETY, LLC - ALL RIGHTS RESERVED
LANG_Validation[0];This field is required.
LANG_Validation[1];Entered value is already taken.
LANG_Validation[2];Entered value has to be at least {0} characters long.
LANG_Validation[3];Entered value has to be at most {0} characters long.
LANG_Validation[4];Entered value has to be equal at least {0}.
LANG_Validation[5];Entered value has to be equal at most {0}.
LANG_Validation[6];Please enter a valid email address.
LANG_Validation[7];This field is required.
LANG_Validation[8];This field is required.
LANG_Validation[9];Please enter valid date.
LANG_Validation[10];Please enter valid date.
LANG_Validation[11];Future date is not valid.
LANG_Validation[12];Entered address is not valid.
LANG_Validation[13];Entered values are not equal.
LANG_Validation[14];Old password does not match.
LANG_Validation[15];Entered value has to be at most {0} characters long.
LANG_Validation[16];Password strength is too low.
LANG_Desc_Not_Empty;Description can not be empty, the maximum number of characters is 140.
LANG_BirthDate_Validation_DayInvalid;Day is invalid.
LANG_BirthDate_Validation_DayNull;Day cannot be null.
LANG_BirthDate_Validation_MonthInvalid;Month is invalid.
LANG_BirthDate_Validation_MonthNull;Month cannot be null.
LANG_BirthDate_Validation_YearInvalid;Year is invalid.
LANG_BirthDate_Validation_YearNull;Year cannot be null.
LANG_BirthDate_Validation_Null;This fields are required.
LANG_Today;today
LANG_Tomorrow;tomorrow
LANG_Yesterday;yesterday
LANG_Group_Invite_AreYouSure;Send invitations.
LANG_Group_Invite_AreYouSureInvite;Are you sure you would like to invite the selected people?
LANG_Group_Invite_SentTitle;Invitations were sent.
LANG_Group_Invite_SentContent;Invitations were sent to select people.
LANG_Group_AutoAcceptInfo;This plan is open to anyone who would like to join.
LANG_Dialog_Cancel;Cancel
LANG_Dialog_Yes;Yes
LANG_CustomValidator_Name;Please enter your first name.
LANG_CustomValidator_Lastname;Please enter your last name.
LANG_CustomValidator_Email;Please enter your email address.
LANG_CustomValidator_Gender;Please enter your gender.
LANG_CustomValidator_Date;Please enter your date of birth.
LANG_CustomValidator_Title;Please enter a title.
LANG_CustomValidator_Location;Please choose a location.
LANG_CustomValidator_Description;Please enter a description.
LANG_CustomValidator_DescriptionToLong;Your description is too long.
LANG_CustomValidator_SelectDate;Please select a date.
LANG_CustomValidator_FileToLarge;Your photo is larger than 10MB.
LANG_CustomValidator_FileBadFormat;Your photo is an incorrect format.
LANG_FileValidation[0];Request size is too big.
LANG_FileValidation[1];File is too big. Max size is 10Mb.
LANG_FileValidation[2];File has an incorrect type.
LANG_FileValidation[3];Error occured while saving file.
LANG_FileValidation[10];Error occured while deleting file.
LANG_Profile_UserActivities;Activities
LANG_Profile_UserAboutMe;More about me
LANG_Profile_UserRundowns;Trip reports
LANG_Profile_GroupCreated;Plans created
LANG_Profile_GroupJoined;Plans joined
LANG_habaEditor_fontSize;Font Size
LANG_habaEditor_Huge;Huge
LANG_habaEditor_Normal;Normal
LANG_habaEditor_Small;Small
LANG_habaEditor_Bold;Bold
LANG_habaEditor_Italic;Italic
LANG_habaEditor_Strikethrough;Strikethrough
LANG_habaEditor_Underline;Underline
LANG_habaEditor_Hyperlink;Hyperlink
LANG_habaEditor_URL;URL
LANG_habaEditor_Add;Add
LANG_topFilter_Show;Show:
LANG_topFilter_Groups;Plans
LANG_topFilter_Rundowns;Trip reports
LANG_topFilter_Happenings;Happenings
LANG_textLogo.Groups;Gr
LANG_textLogo.Rundowns;Rd
LANG_textLogo.Happenings;Ha
LANG_Rundown_Tags;TAGS
LANG_Rundown_PostedBy;POSTED BY
LANG_Rundown_PostedBy_SignIn;Sign in to view the creator.
LANG_Rundown_ThisReportWas;THIS REPORT WAS
LANG_Rundown_Creator;Creator
LANG_Rundown_Comments;COMMENTS
LANG_Rundown_Bookmark;Bookmark
LANG_Rundown_Edit;Edit
LANG_Rundown_TagUsers;Tag Members
LANG_Rundown_TaggedUsers;Who was there
LANG_Rundown_ShowAll;Show all
LANG_Rundown_Hide;Hide
LANG_Rundown_NoTagged;There are no tagged members
LANG_Rundown_Cancel;Cancel
LANG_Rundown_ShowAllPhotoComments;Show all comments
LANG_ViewRundown_NoPosts;No comments yet!
LANG_ViewRundown_LeaveComment;Leave a comment here!
LANG_ViewRundown_DisplayAll;Display all comments
LANG_Comment_Delete_Dialogs_Question;Do you want to delete the comment
LANG_Account_PPTL;By clicking 'I agree' you agree to our %(terms)s and %(policy)s.
LANG_Account_Terms;Terms of Service
LANG_Account_Policy;Privacy Policy
LANG_Footer_Socials;BE SOCIAL WITH US!
LANG_livehelpLinkText;Report a Problem
LANG_AddThis_Share_Error_Title;Error downloading sharing configuration
LANG_AddThis_Share_Error_Content;It may be caused by your ISP settings.<br/>Try clearing browser cache and refreshing this page.<br/>Your sharing options are currently disabled.
LANG_userSearch_filterTitle;Browse Profiles
LANG_userSearch_filterClear;Clear
LANG_userSearch_filterSearch;Search
LANG_userSearch_filterShow;show advanced search >
LANG_userSearch_filterHide;< hide advanced search
LANG_userSearch_keywordLabel;Find people or keywords
LANG_userSearch_keywordPlaceholder;John Doe, Silverton, 14ers, etc.
LANG_userSearch_ageRangeLabel;Age range
LANG_userSearch_ageToLabel;to
LANG_userSearch_locationLabel;Location
LANG_userSearch_locationPlaceholder;City, State
LANG_userSearch_indicatorsTitle;Show only
LANG_userSearch_onlyWithPhoto;Members with a profile photo
LANG_userSearch_onlyWithInstagram;Members with Instagram
LANG_userSearch_onlyWithTwitter;Members with Twitter
LANG_userSearch_activitiesLabel;Show/Hide Activities
LANG_userSearch_NoResult;Your criteria didn't match our records.
LANG_userSearch_InitialMessage;Please use the filter above to view user profiles.
LANG_usersStatusesMessage['USER_JOOINS_GOCIETY'];<b>%(firstName)s %(lastName)s</b> joined Gociety!
LANG_usersStatusesMessage['USER_POSTS_A_RUNDOWN'];<b>%(firstName)s %(lastName)s</b> posted a trip report: %(itemName)s.
LANG_usersStatusesMessage['USER_STARTS_A_GOCIETY'];<b>%(firstName)s %(lastName)s</b> plans to %(itemName)s.
LANG_usersStatusesMessage['USER_JOINS_A_GOCIETY'];<b>%(firstName)s %(lastName)s</b> joined %(itemName)s.
LANG_usersStatusesMessage['USER_VOTES_ON_RUNDOWN'];<b>%(firstName)s %(lastName)s</b> voted on %(itemName)s.
LANG_usersStatusesMessage['USER_COMMENTS_ON_RUNDOWN'];<b>%(firstName)s %(lastName)s</b> commented on %(itemName)s.
LANG_usersStatusesMessage['USER_EDITED_THEIR_PROFILE'];<b>%(firstName)s %(lastName)s</b> edited their profile.
LANG_usersStatusesMessage['USER_HIGHFIVED_ANOTHER_USER'];<b>%(senderName)s %(senderSurname)s</b> gave a high five to %(receiverName)s %(receiverSurname)s.
LANG_usersStatusesMessage_listEmpty;No activity found.
LANG_Notif_Groups_Created;Plans Created
LANG_Notif_Groups_Joined;Plans Joined
LANG_Notif_Number_Contacts;Number of Contacts
LANG_GroupConfirm_Title;By joining this Gociety plan, you agree to be bound by our %(termsLink)s and %(privacyLink)s
LANG_GroupConfirm_P1;Show Up and Have fun!
LANG_GroupConfirm_P1a;No extra credit for good intentions.
LANG_GroupConfirm_P2;Communicate.
LANG_GroupConfirm_P2a;Know when and where to meet people, and how to contact them.
LANG_GroupConfirm_P3;Be Prepared. 
LANG_GroupConfirm_P3a;Outdoor sports are inherently risky. Have a plan for injuries and emergencies. You agree that neither Gociety, LLC nor its owners, employees or members are responsible for what you do, nor for your safety, nor for the risks you choose to take. You agree that neither Gociety, LLC nor its owners, employees or members are liable if you get injured, killed, or lost. You’re on your own!
LANG_GroupConfirm_P4;Be Safe.;
LANG_GroupConfirm_P4a;Neither gociety plan creators nor Gociety, LLC, its owners, employees or members assume any responsibility or liability for your safety. Plan creators or other Gociety members may ask you to leave if you are not physically or otherwise prepared for the plan activity. Always put safety first.
LANG_GroupConfirm_P5;Fully Read, Understand, and Agree to Our Terms of Service.
LANG_GroupConfirm_P5a;Specifically section 8: “Your Interactions with Other Members”
LANG_GroupConfirm_CancelButton;I don’t agree. I’m stayin’ home.
LANG_GroupConfirm_OkButton;I agree. Count me in!
LANG_GroupCreate_Terms;Terms of Service
LANG_GroupCreate_Privacy;Privacy Policy
LANG_GroupCreate_Title;By creating this Gociety Plan, you agree to be bound by our %(termsLink)s and %(privacyLink)s
LANG_GroupCreate_Subtitle;You also agree to:
LANG_GroupCreate_P2;Communicate.
LANG_GroupCreate_P2a;Let everyone know where to meet you, and how to contact you
LANG_GroupCreate_P3a;Outdoor sports are inherently risky. Have a plan for injuries and emergencies. You agree that neither Gociety, LLC, nor its owners, employees or members are responsible for your safety nor for the risks you choose to take. Neither Gociety, LLC, nor its owners, employees or members are liable if you get injured, killed, or lost. You’re on your own!
LANG_GroupCreate_P4a;As a plan creator, neither you nor Gociety, LLC are responsible or liable for the actions or safety of anyone who joins your gociety plan. This is part of the Gociety Terms of Service that all users agree to. However, you should not encourage anyone to take unnecessary risk, or to do anything beyond their personal abilities. If someone is unfit or otherwise unprepared for an activity, you should ask them to leave, turn back, or go home. Always put safety first.
LANG_Messages_pageTitle;Private messages
LANG_Messages_Messages;Inbox
LANG_Messages_NoMessages;There are no messages
LANG_Messages_With;with
LANG_Messages_WriteMessage;New message
LANG_Messages_Delete;Delete
LANG_Messages_ConvWith;Recipients
LANG_Messages_Date;Date
LANG_Messages_Title;Conversation title
LANG_Messages_SendMessage;Send
LANG_Messages_AddToConversation;Add users to conversation
LANG_Messages_NoContactsToAdd;You have no contacts to talk to
LANG_Messages_NoGroupsToAdd;There are no plans
LANG_Messages_StartConversation;Write message
LANG_Messages_Subject;Subject
LANG_Messages_EnterConvTitle;Enter conversation title
LANG_Messages_EnterConvTitle;Enter conversation title
LANG_Messages_Message;Message
LANG_Messages_NoContactsSelected;You have selected no contacts
LANG_Messages_AddToConv;Add to conversation
LANG_Messages_AddContactsToConv;Add contacts to conversation
LANG_Messages_Conversation;Conversation
LANG_Messages_RemoveFromConv;Remove from conversation
LANG_Messages_RemoveContactsFromConv;Remove contacts from conversation
LANG_Messages_selectAll;select/de-select all
LANG_Messages_GroupQuestion;Have a question?
LANG_Messages_MessageCreator;Ask here
LANG_Messages_ContactsSelect;Contacts 
LANG_Messages_GroupsSelect;plans
LANG_Messages_StartGroupConversation;Message Plan
LANG_Messages_Confirmation;Confirmation
LANG_Messages_DeleteFeedQuestion;Are you sure you’d like to delete all of the messages from
LANG_Messages_DeleteFeedsQuestion;Are you sure you want to delete the selected messages?
LANG_Messages_BackToInbox;Back to inbox
LANG_Messages_LeaveConversation;Leave conversation
LANG_Messages_AddPeople;Add people
LANG_Messages_LeaveConversationQuestion;Are you sure you would like to leave this conversation?
LANG_Messages_ThisConversation;this conversation
LANG_Messages_Me;Me
LANG_StateSelector_ShowAdventures;show me adventures in
LANG_USM2.contacts;Contacts
LANG_USM2.groupMembers;Members
LANG_USM2_NoUsers;There are no users on this list
LANG_USM2_Title;Select users
LANG_USM2_TagPeople;Who was there?
LANG_USM2_HihfiveMembers;High five plan members
LANG_SimpleList_ViewMore;view more
LANG_HighFive_Content;Write a comment
LANG_Profile_HighFives;High fives
LANG_Profile_HighFiveReceived;High fives received
LANG_Profile_HighFiveGiven;High fives given
LANG_ListView_hiFiGiTitle;High fives given
LANG_ListView_hiFiReTitle;High fives received
LANG_ListView_GroupsCreatedTitle;Plans created
LANG_ListView_GroupsJoinedTitle;Plans joined
LANG_ListView_NoResult;No items found
LANG_Profile_FullCompletion;Your profile is 100% complete!
LANG_Profile_Completion;Your profile is only {0}% complete!
LANG_Profile_Completion2;It looks like your account is not fully completed.
LANG_Profile_Completion3;Fill in the following sections: 
LANG_Profile_fields.name;First name
LANG_Profile_fields.surname;Last name
LANG_Profile_fields.birthDate;Date of Birth
LANG_Profile_fields.email;Date of Birth
LANG_Profile_fields.extendedData;The jam
LANG_Profile_fields.gender;Gender
LANG_Profile_fields.instagramUsername;Social networks: Instagram user name
LANG_Profile_fields.photo;Profile photo
LANG_Profile_fields.twitterUsername;Social networks: Twitter user name
LANG_Profile_fields.localization;Location
LANG_Profile_fields.sports;The details
LANG_Upvote_Upvote;Upvote
LANG_Upvote_Upvotes;Upvotes
LANG_Upvote_Like;Like
LANG_Upvote_Unlike;You like this
LANG_Upvote_PeopleLikeThis;people like this photo
LANG_Upvote_PersonLikesThis;person likes this photo
LANG_Questions_QOTW;Question of the week
LANG_Questions_NoQuestion;No question this week
LANG_Questions_Answer;Answer
LANG_Top5_Top5Photos;Top 5 Albums
LANG_Top5_Top5users;Top 5 Members
LANG_MassHighFive_CantSendTitle;Incorrect data
LANG_MassHighFive_CantSend;Please select users and write a comment
LANG_MassHighFive_SuccessTitle;Success
LANG_MassHighFive_Success;High fives added
LANG_MassHighFive_FailureTitle;Failure
LANG_MassHighFive_Failure;An error occured while adding high fives
LANG_Group_PreviewInfo;Plan preview
LANG_Discovery_All;All
LANG_Preview_Error;An Error occured while creating preview
LANG_Preview_ErrorText;Check if Plan edit form is still opened
LANG_Preview_PreviewMode;Preview mode
LANG_Preview_PreviewModeText;Close preview tab to go back to edit form
LANG_Preview_PreviewModeWarning;You are in preview mode. If you close this window all changes won't be saved
LANG_ReferralProgram_ReferFriends;Refer friends ({0})
LANG_ReferralProgram_GetGocietySwag;& get Gociety swag!
LANG_ReferralProgram_DaysLeft;Days Left
LANG_ReferralProgram_FreindsEmail;Friend's email(s)
LANG_ReferralProgram_OfferExpires;Offer expires
LANG_Notify_Facebook_Friends;Invite Facebook Friends!
LANG_Enter_Promo_Code;Enter promo code (optional)
LANG_Promo_Code_Doesnt_Exist;Promo code doesn't exist
LANG_PaidGroup_Booked;booked!;
LANG_PaidGroup_BookAdventure;Book my adventure!
LANG_PaidGroup_SoldOut;Sold out!
LANG_PaidGroup_Success;Conratulations
LANG_PaidGroup_SuccessText;You just booked your adventure
LANG_PaidGroup_Failure;Something went wrong!
LANG_PaidGroup_FailureText;Your payment hasn't been accepted.
LANG_MainMenu_Jobs;Jobs
LANG_MainMenu_AboutUs;About us
LANG_MainMenu_Blog;Blog
LANG_MainMenu_HavingIssues;Having issues?
LANG_MainMenu_TermsOfService;Terms of service
LANG_MainMenu_PrivacyPolicy;Privacy policy
LANG_MainMenu_AccountSettings;Account settings
LANG_MainMenu_ContactUs;Contact us
LANG_Menu_DiscoveryFeedText;Find adventures & people
LANG_Menu_DiscoveryRundownsText; Explore & share ideas
LANG_Discovery_LastActivity;Recent activity
LANG_Back_To;Back to
LANG_SignUpModal_BecomeMember;Become a member;
LANG_SignUpModal_text;to start or join adventures, view profiles, message other members and more!
LANG_SignUpModal_AlreadyMember;Already a member?
LANG_SignUpModal_LoginHere;Login here
LANG_VoteNames.HELPFUL;Awesome
LANG_VoteNames.CREATIVE;Informative
LANG_VoteNames.FUNNY;I wanna go!
LANG_ContactUs_Error_Title;Error
LANG_ContactUs_Error_Message;There was a problem with sending your message.\nPlease try again later
LANG_ContactUs_Success_Title;Success
LANG_ContactUs_Success_Message;Your message was sucessfully sent to Gociety
LANG_Crop;Crop
LANG_CropImage;Crop image
LANG_StripeModal_CardNumber;Card number
LANG_StripeModal_Cvc;CVC
LANG_StripeModal_ExpirationMM;MM
LANG_StripeModal_ExpirationYYYY;YYYY
LANG_StripeModal_Name;Name
LANG_StripeModal_Address1;Address (line 1)
LANG_StripeModal_Address2;Address (line 2)
LANG_StripeModal_City;City
LANG_StripeModal_State;State
LANG_StripeModal_ZipCode;Zip code
LANG_StripeModal_Country;Country
LANG_StripeModal_Pay;Pay
LANG_TaggerHelper_NoUsers;Found no matching users
LANG_Map_SelectLocation;Select location
LANG_Map_SelectLocationOnMap;Or select location on map
LANG_Map_UserSelectModal3_StartTyping;Start typing name or surname
